time,avg_rss12,var_rss12,avg_rss13,var_rss13,avg_rss23,var_rss23
21500,36.50,5.50,12.00,6.04,19.75,2.59
21750,39.25,1.09,12.50,2.29,21.00,1.41
22000,44.00,1.00,17.00,1.22,17.67,4.03
22250,36.00,0.00,18.25,1.79,19.67,1.25
22500,35.25,1.30,19.25,5.07,16.50,6.69
22750,34.25,1.30,19.75,1.79,16.00,4.18
23000,33.75,1.30,16.75,2.05,22.50,1.12
23250,31.75,4.49,21.00,1.87,22.25,2.28
23500,38.33,1.70,16.67,1.25,22.00,1.58
23750,40.25,2.05,13.00,1.58,20.25,0.83
24000,43.25,2.49,12.75,2.49,19.00,1.87
24250,36.75,1.30,17.50,5.77,17.75,6.80
24500,33.75,1.30,19.50,2.69,21.33,0.47
24750,35.25,2.49,17.75,2.17,20.75,2.38
25000,34.00,5.66,22.00,0.82,21.75,3.77
25250,37.50,2.60,18.00,3.08,22.75,2.49
25500,40.25,1.30,15.75,2.95,22.25,1.09
25750,42.50,2.29,18.33,2.49,17.00,6.16
26000,37.00,1.73,15.00,4.95,14.50,3.50
26250,35.25,1.30,20.25,2.59,15.25,6.26
26500,31.75,7.36,16.67,3.86,21.00,2.94
26750,39.25,2.05,17.75,5.17,22.75,1.30
27000,38.00,0.82,15.75,4.26,20.33,1.25
27250,43.67,1.25,16.33,2.36,21.50,2.29
27500,40.75,1.79,16.25,2.86,14.75,2.77
27750,34.67,1.25,17.67,5.44,13.33,4.71
28000,34.25,1.30,19.00,1.41,15.67,8.26
28250,35.25,2.49,15.00,3.67,20.50,2.29
28500,35.00,4.85,19.00,3.94,20.50,3.57
28750,38.00,2.16,15.33,4.50,21.00,2.00
29000,41.80,2.14,12.80,5.46,19.33,2.21
29250,37.50,4.50,19.00,1.41,19.50,2.18
29500,34.50,1.50,20.75,1.48,16.50,3.77
29750,35.25,1.30,17.00,2.16,22.75,1.09
30000,32.75,4.92,17.75,4.02,22.25,1.79
30250,39.50,1.50,19.25,1.30,20.50,1.50
30500,40.00,1.22,10.33,4.19,17.67,0.47
30750,43.25,2.49,15.67,2.05,19.67,1.25
31000,36.75,1.30,17.50,2.60,17.00,5.15
31250,34.50,1.50,16.50,4.50,13.75,7.46
31500,35.50,4.72,19.75,2.38,17.00,2.12
31750,35.25,5.54,19.00,4.53,19.75,2.49
32000,39.00,2.45,16.00,1.22,24.00,0.00
32250,42.67,0.94,14.00,7.45,24.00,1.41
32500,39.67,2.62,24.00,0.00,21.25,4.32
32750,32.25,3.90,24.00,0.00,24.00,5.79
33000,33.33,4.71,24.00,0.00,7.25,7.95
33250,38.75,1.79,20.25,4.92,21.25,2.05
33500,38.75,2.77,19.00,2.55,18.50,2.18
33750,38.50,4.15,22.75,1.09,24.25,1.79
34000,42.75,1.48,15.67,2.05,21.50,2.29
34250,36.00,2.12,25.75,2.77,20.00,5.24
34500,32.00,1.22,24.50,1.50,12.25,3.11
34750,30.00,4.74,17.75,2.17,21.50,2.18
35000,36.75,2.49,20.75,0.43,15.75,4.97
35250,37.67,2.36,21.33,2.05,22.25,1.79
35500,43.50,1.50,17.33,0.94,14.33,2.62
35750,40.67,1.25,15.00,1.73,19.67,1.25
36000,33.75,1.30,26.75,1.64,18.25,4.21
36250,32.00,1.22,20.75,5.07,13.75,2.77
36500,29.33,8.18,19.67,2.49,21.75,1.48
36750,34.00,4.06,19.75,1.48,16.75,4.49
37000,40.33,2.05,16.67,2.62,22.25,1.30
37250,42.00,0.00,15.00,4.24,19.25,3.03
37500,35.75,2.17,24.50,4.15,21.75,1.92
37750,31.50,2.60,26.75,2.17,16.50,2.06
38000,34.25,5.89,19.25,2.86,22.00,4.95
38250,31.50,4.50,18.75,2.28,19.25,4.60
38500,35.25,2.86,17.25,3.27,18.25,3.70
38750,43.25,1.79,13.25,3.03,14.00,1.22
39000,37.50,2.60,17.75,6.50,16.50,2.60
39250,31.25,4.44,22.50,0.50,16.75,2.77
39500,33.25,4.92,19.75,4.09,17.75,2.17
39750,31.67,5.79,20.50,2.29,14.33,3.86
40000,36.25,4.76,18.25,4.02,18.25,4.76
40250,24.25,5.36,22.75,0.83,20.50,2.18
40500,41.25,3.11,16.75,3.27,17.75,2.86
40750,41.25,3.27,12.33,4.78,19.67,2.05
41000,35.00,2.83,18.50,6.50,24.67,3.40
41250,29.50,6.54,23.00,1.41,20.75,2.68
41500,38.33,1.70,16.00,1.63,21.75,2.49
41750,40.25,0.83,11.50,1.50,19.50,1.50
42000,42.00,0.00,15.25,2.38,22.75,2.95
42250,34.00,4.74,19.00,2.16,16.00,6.16
42500,34.50,1.50,19.00,2.74,22.50,3.84
42750,32.25,2.28,11.75,4.02,22.75,2.77
43000,35.25,1.30,18.75,1.30,12.50,9.07
43250,37.00,2.35,21.67,1.70,21.67,2.36
43500,34.00,4.85,20.00,1.41,23.67,2.05
43750,40.75,1.30,13.00,1.58,19.25,1.30
44000,43.50,1.50,11.25,5.36,21.50,2.50
44250,36.75,5.12,10.67,3.30,19.00,3.24
44500,33.25,0.43,22.25,3.03,20.50,2.96
44750,35.00,1.22,18.00,2.45,17.67,4.19
45000,34.50,1.50,15.33,2.05,21.67,0.47
45250,36.75,3.70,19.67,0.94,22.33,3.09
45500,38.00,3.67,16.50,6.10,22.25,1.79
45750,40.25,1.30,13.75,5.40,18.75,2.49
46000,44.33,0.94,10.50,1.12,18.67,6.85
46250,37.25,1.30,17.33,1.25,17.00,4.74
46500,33.75,1.30,23.75,0.43,18.25,7.69
46750,35.00,1.41,17.33,2.87,19.00,5.34
47000,34.25,4.26,20.75,1.79,21.00,3.56
47250,34.00,6.60,11.67,4.50,22.25,1.30
47500,41.00,1.22,12.33,2.49,23.00,1.22
47750,45.00,0.82,15.75,1.48,15.33,3.77
48000,36.00,2.55,16.33,4.64,18.50,2.87
48250,34.00,1.41,21.00,1.63,19.25,2.95
48500,35.25,1.30,16.67,0.94,24.00,0.00
48750,37.33,1.25,22.50,1.50,22.67,1.89
49000,36.00,4.24,17.00,2.94,20.75,4.44
49250,40.75,1.48,13.25,2.77,18.75,4.15
49500,41.75,3.49,16.75,3.56,20.75,2.49
49750,35.25,1.30,18.00,3.61,20.75,3.27
50000,33.75,1.30,20.50,2.29,19.25,5.45
50250,35.25,1.30,19.25,2.86,23.00,2.55
50500,31.50,4.50,19.00,4.42,22.00,5.15
50750,38.50,3.35,18.75,1.30,22.25,1.09
51000,41.75,1.79,8.75,3.63,21.00,1.87
51250,43.25,3.03,14.50,1.50,16.00,4.06
51500,34.50,2.60,16.50,1.50,17.50,0.50
51750,32.00,0.71,20.75,1.79,18.33,5.25
52000,34.25,1.79,16.67,1.70,21.67,3.30
52250,36.00,2.12,20.75,1.64,20.50,3.35
52500,36.00,2.45,16.75,4.82,23.33,3.77
52750,39.50,0.87,15.25,3.27,19.00,2.74
53000,42.67,0.94,13.50,1.50,21.75,2.28
53250,41.00,2.68,13.75,4.02,19.75,4.76
53500,34.00,1.41,21.00,2.16,18.75,7.46
53750,35.00,1.22,17.25,2.17,21.75,4.49
54000,36.75,1.30,19.25,3.56,23.50,0.87
54250,38.00,3.67,18.25,3.83,22.00,1.22
54500,40.25,1.09,12.00,2.55,23.50,0.50
54750,42.25,2.17,8.00,7.00,21.00,0.00
55000,41.75,2.17,13.33,1.89,13.00,3.74
55250,36.00,2.12,16.25,1.30,16.50,3.35
55500,33.75,1.30,16.50,1.12,18.00,5.20
55750,37.00,1.73,18.50,1.50,25.50,0.87
56000,35.33,4.03,21.00,4.24,24.33,1.25
56250,40.67,0.47,17.50,3.35,22.67,1.25
56500,40.67,1.25,6.00,4.00,22.75,1.30
56750,44.00,0.71,5.50,3.50,21.75,0.43
57000,44.00,0.00,12.25,2.59,22.50,0.50
57250,42.50,3.77,16.00,1.58,21.00,1.87
57500,35.75,1.79,17.25,2.17,17.25,7.73
57750,33.75,1.30,13.50,4.15,19.00,8.66
58000,32.75,5.67,17.50,5.68,21.50,3.57
58250,35.25,3.77,14.75,4.55,22.50,1.12
58500,40.00,1.41,12.00,4.32,22.50,0.50
58750,42.60,1.20,13.75,2.77,17.80,3.87
59000,38.25,1.92,15.00,2.45,22.00,3.67
59250,34.50,2.06,16.00,4.64,19.25,5.07
59500,34.67,1.89,11.00,3.00,19.33,3.40
59750,37.75,1.79,18.25,4.92,25.50,0.87
60000,31.67,6.60,17.67,2.36,22.75,1.79
60250,40.25,1.79,10.25,5.97,23.50,0.87
60500,43.25,2.49,9.75,4.49,16.75,2.95
60750,36.25,2.17,17.25,2.59,18.75,1.92
61000,34.25,1.79,12.00,6.60,17.50,5.50
61250,32.25,6.50,14.67,2.49,22.67,3.68
61500,34.75,3.49,18.00,5.52,24.00,1.22
61750,40.75,1.48,11.50,7.83,24.50,0.50
62000,43.25,2.49,8.33,5.19,18.25,5.31
62250,37.33,1.89,14.75,3.49,23.67,2.05
62500,33.50,1.50,16.50,2.29,17.75,5.31
62750,37.50,1.50,22.50,1.12,24.00,2.12
63000,37.25,4.76,18.50,1.50,21.75,2.28
63250,39.33,0.47,9.67,5.44,20.50,0.87
63500,44.00,0.82,18.00,0.00,20.00,1.63
63750,38.00,4.06,13.50,3.91,19.25,2.05
64000,34.50,1.50,16.75,2.77,16.00,6.60
64250,36.00,2.12,14.75,3.63,23.50,0.87
64500,33.00,5.61,17.50,4.15,17.25,5.89
64750,41.00,1.58,16.75,1.64,22.50,2.60
65000,43.00,2.92,15.00,0.00,18.00,4.24
65250,35.25,2.49,20.33,1.70,15.00,2.94
65500,35.00,1.41,14.50,1.50,19.67,1.25
65750,36.25,2.49,18.75,3.34,19.25,2.49
66000,34.25,7.56,16.50,2.06,19.75,4.60
66250,41.33,1.70,11.00,0.00,22.33,0.94
66500,43.25,2.49,13.00,5.10,19.67,3.09
66750,36.50,1.50,17.50,3.57,22.67,1.25
67000,35.25,1.30,14.25,5.45,18.00,3.67
67250,33.00,3.00,18.50,1.50,21.67,1.70
67500,39.75,1.30,18.00,2.16,19.67,0.94
67750,42.25,2.68,12.25,4.55,16.25,6.02
68000,35.25,1.30,16.67,3.09,22.00,3.08
68250,35.00,1.41,18.50,1.66,13.33,6.85
68500,33.00,0.00,11.67,5.31,21.00,1.22
68750,35.75,1.79,19.75,3.70,18.00,3.74
69000,32.50,5.55,18.00,2.83,19.50,3.84
69250,40.75,1.09,10.50,6.34,19.50,0.87
69500,40.00,2.74,13.00,2.74,15.00,3.24
69750,35.00,1.22,19.75,3.77,15.00,2.55
70000,35.25,1.30,14.75,3.83,21.00,1.87
70250,31.75,4.76,19.25,1.79,20.75,3.27
70500,38.00,4.74,15.75,2.05,21.75,1.30
70750,42.75,1.30,9.75,4.82,20.25,1.30
71000,42.50,2.29,10.67,5.44,14.00,4.32
71250,35.00,2.12,19.00,2.74,18.25,4.15
71500,34.50,1.50,17.75,2.05,20.25,3.90
71750,33.50,2.87,16.50,6.87,22.00,2.74
72000,38.67,4.71,16.00,2.55,19.00,2.94
72250,42.00,2.24,13.00,1.63,22.00,1.58
72500,43.00,2.83,11.67,0.47,17.50,2.50
72750,35.25,2.49,18.25,3.70,18.50,3.77
73000,34.50,1.50,17.25,4.15,17.75,7.40
73250,36.00,2.55,21.50,2.29,18.75,4.44
73500,31.50,6.80,18.50,3.84,21.25,3.90
73750,41.00,1.22,11.75,3.19,22.50,0.87
74000,43.75,1.64,11.50,2.50,13.00,5.74
74250,37.25,1.64,18.00,3.61,13.75,5.31
74500,36.00,0.00,20.25,1.92,16.25,5.07
74750,35.50,2.87,17.25,2.86,21.00,2.45
75000,31.50,5.94,17.75,4.32,21.75,1.92
75250,41.00,1.22,15.33,2.62,21.25,0.83
75500,44.50,0.50,11.25,3.96,17.75,0.43
75750,39.75,3.56,14.50,4.50,23.25,2.49
76000,33.25,0.43,23.00,1.41,12.67,8.18
76250,36.00,0.00,13.50,3.35,21.00,0.00
76500,35.67,4.19,19.00,2.16,20.00,2.55
76750,36.50,7.30,16.25,2.49,22.50,1.50
77000,43.00,1.58,13.50,4.03,18.75,2.59
77250,39.25,3.19,14.50,6.73,21.50,5.68
77500,34.00,1.22,21.75,0.83,20.00,2.55
77750,36.00,0.00,19.50,1.50,23.50,0.50
78000,35.00,3.00,19.00,4.42,21.00,2.12
78250,40.75,0.43,15.50,2.60,21.75,1.30
78500,43.25,1.30,6.75,4.60,18.00,7.58
78750,41.50,3.35,10.00,2.83,15.00,2.45
79000,36.25,0.43,19.50,3.64,19.75,3.70
79250,35.25,1.30,21.00,2.24,15.00,6.36
79500,37.00,2.74,20.00,3.74,23.00,2.16
79750,38.00,3.54,19.00,1.00,17.00,1.63
80000,42.25,1.79,12.67,3.86,21.67,0.47
80250,42.50,2.29,11.00,2.00,15.67,2.49
80500,36.50,0.87,17.75,4.38,19.50,4.56
80750,35.00,1.41,21.25,1.92,13.00,5.89
81000,36.25,2.49,17.25,2.49,20.00,1.00
81250,36.25,3.11,13.00,0.00,17.33,4.50
81500,41.50,0.50,12.00,3.67,21.50,1.50
81750,44.00,0.82,12.33,2.49,21.00,3.54
82000,40.00,3.54,12.00,0.00,22.00,1.41
82250,33.75,1.30,20.00,2.00,20.00,3.00
82500,35.50,1.50,16.50,3.20,18.50,6.80
82750,35.00,5.05,18.50,3.91,17.00,4.55
83000,40.50,1.12,13.25,7.43,23.25,0.83
83250,43.67,1.25,13.33,1.70,23.00,0.00
83500,41.40,3.67,11.75,1.48,19.80,3.06
83750,35.75,0.43,16.75,5.80,16.00,4.24
84000,36.00,0.00,16.50,3.64,21.67,0.94
84250,32.75,4.09,19.00,3.54,19.50,3.64
84500,33.75,8.58,15.75,3.27,21.50,1.80
84750,42.50,1.12,11.75,1.92,21.75,1.30
85000,43.67,2.62,11.33,2.87,11.75,6.26
85250,37.00,1.73,15.67,2.87,21.50,3.04
85500,35.25,1.30,16.50,2.60,21.50,2.29
85750,32.50,0.87,16.00,2.74,20.00,3.74
86000,33.25,6.61,14.50,3.35,21.00,0.71
86250,41.00,1.58,10.25,5.93,21.00,1.73
86500,43.50,2.06,14.00,2.94,16.33,3.68
86750,37.00,1.73,15.00,4.97,24.33,0.47
87000,35.25,1.30,18.50,2.29,17.25,3.34
87250,38.00,1.41,19.67,1.89,22.33,1.25
87500,34.75,6.38,14.75,1.64,18.00,4.30
87750,41.75,1.48,13.50,1.80,21.00,0.71
88000,44.33,2.49,12.33,3.77,15.75,5.93
88250,38.00,2.35,9.50,2.50,15.33,5.31
88500,35.25,1.30,14.75,3.77,21.75,0.83
88750,33.33,4.50,17.00,1.41,16.50,3.35
89000,34.00,5.72,15.00,4.08,15.50,4.82
89250,42.25,2.17,15.00,2.83,19.50,1.50
89500,39.50,3.35,13.00,3.00,20.75,1.92
89750,35.25,1.30,18.00,4.24,15.67,1.70
90000,35.25,2.49,14.25,2.05,22.00,2.35
90250,36.25,4.55,17.00,2.12,21.00,0.00
90500,38.00,1.87,12.00,4.55,20.00,1.41
90750,39.50,1.50,12.00,0.71,21.00,0.00
91000,44.67,0.47,9.50,1.50,12.33,5.31
91250,42.00,3.00,17.50,0.50,14.25,8.07
91500,37.33,1.25,16.33,1.25,17.50,7.76
91750,32.75,2.17,17.75,2.17,15.25,3.83
92000,33.75,2.49,21.00,1.73,20.00,2.12
92250,35.75,4.38,16.25,3.11,20.00,2.12
92500,38.50,4.61,14.75,1.09,18.75,4.60
92750,41.00,3.24,12.33,1.89,22.25,2.68
93000,34.50,1.50,15.75,1.79,19.00,2.12
93250,36.00,0.00,15.00,0.71,20.50,0.87
93500,34.50,5.32,17.00,2.83,20.67,0.94
93750,35.75,2.77,17.00,4.97,20.50,1.12
94000,43.00,2.83,17.33,3.86,18.00,8.49
94250,39.33,2.49,14.00,2.83,22.67,2.62
94500,35.67,0.47,14.67,1.25,14.00,3.46
94750,34.50,1.50,17.25,3.27,18.75,0.43
95000,34.25,3.49,17.50,4.15,21.75,1.30
95250,37.25,2.17,16.00,2.12,19.50,3.20
95500,41.25,2.59,12.00,3.54,20.00,4.64
95750,40.25,3.19,15.00,2.45,21.00,2.45
96000,35.00,1.22,19.25,1.30,16.50,4.15
96250,36.00,0.00,16.75,5.36,20.25,1.30
96500,30.33,2.49,21.00,2.12,21.33,2.36
96750,36.75,2.49,14.75,2.49,20.75,1.79
97000,41.67,2.49,15.33,0.47,22.25,2.68
97250,40.75,3.27,16.25,1.48,19.50,4.50
97500,34.50,1.50,19.25,1.09,16.00,3.16
97750,36.75,1.30,20.00,1.73,19.50,1.50
98000,33.00,7.07,15.00,5.83,21.00,1.87
98250,37.00,1.73,13.75,6.18,20.25,2.49
98500,41.75,2.17,14.75,2.28,21.25,3.63
98750,40.50,3.20,12.75,2.28,22.00,2.45
99000,35.25,1.30,21.00,1.63,17.33,3.40
99250,36.00,2.12,16.75,0.83,17.50,2.18
99500,34.00,5.61,20.00,1.22,20.75,1.64
99750,37.00,1.73,16.75,3.11,21.75,0.83
100000,40.33,1.25,14.50,0.87,24.00,0.00
100250,43.25,1.79,14.33,1.70,22.00,2.12
100500,33.00,0.00,17.33,2.05,17.50,4.77
100750,36.00,0.00,13.50,1.50,21.50,0.50
101000,33.67,3.86,19.00,2.94,21.00,2.55
101250,38.00,1.41,16.67,1.25,20.25,1.30
101500,40.00,2.92,15.33,1.70,20.50,3.20
101750,42.00,2.12,13.25,3.19,19.75,7.12
102000,35.25,2.49,16.00,0.82,12.50,9.34
102250,35.25,1.30,14.50,1.50,21.50,0.50
102500,36.25,0.83,22.00,1.58,19.25,1.79
102750,29.25,6.50,17.50,2.69,20.25,1.30
103000,38.50,2.50,14.67,2.62,23.25,1.30
103250,40.75,1.48,15.50,2.60,18.00,2.12
103500,36.50,0.87,23.00,1.00,19.00,3.74
103750,35.75,0.43,19.00,1.58,18.50,2.60
104000,37.00,1.41,20.33,1.70,20.00,4.00
104250,35.25,3.77,15.33,3.40,21.00,2.74
104500,36.33,0.47,14.67,4.50,23.00,1.00
104750,41.50,1.50,13.67,1.25,22.00,1.87
105000,39.25,2.17,17.33,0.94,16.00,5.66
105250,36.00,0.00,18.50,2.96,17.67,2.49
105500,31.50,6.18,15.50,4.61,21.25,1.79
105750,37.00,2.74,20.00,3.56,21.75,1.64
106000,36.00,3.00,13.75,6.22,22.00,1.22
106250,41.25,3.03,15.67,0.94,17.50,4.03
106500,36.25,0.43,18.00,4.24,22.67,2.36
106750,36.00,0.00,20.50,2.06,17.33,2.05
107000,35.00,1.41,19.75,1.64,22.00,2.16
107250,32.25,5.54,21.00,1.22,21.50,2.50
107500,38.00,3.56,15.00,3.74,22.75,1.09
107750,39.75,2.59,14.00,2.55,21.00,5.24
108000,40.50,3.20,14.33,2.05,19.67,4.19
108250,35.75,0.43,19.60,2.73,15.80,4.71
108500,35.00,1.73,15.67,1.25,19.67,1.25
108750,36.00,4.74,18.50,1.50,18.50,1.66
109000,37.00,3.56,15.25,4.71,19.00,2.94
109250,36.00,0.00,15.67,4.50,21.25,0.43
109500,40.00,1.00,11.25,3.96,21.25,0.43
109750,41.25,1.30,13.00,2.24,20.00,2.12
110000,36.60,1.20,20.80,2.48,17.75,5.07
110250,35.00,1.41,18.00,0.00,20.00,0.82
110500,30.80,3.54,19.60,1.62,21.00,3.08
110750,38.67,1.89,11.33,4.03,21.75,1.30
111000,40.25,2.59,13.67,0.94,23.00,2.35
111250,41.00,3.24,14.00,1.58,16.50,8.17
111500,35.75,0.83,19.25,2.49,14.50,6.50
111750,34.50,1.50,14.25,3.90,21.25,2.28
112000,33.75,4.32,17.25,4.15,22.50,1.50
112250,39.00,2.12,15.50,3.77,22.00,2.12
112500,42.00,2.12,14.00,0.82,23.00,0.82
112750,38.25,2.28,13.50,3.35,20.25,1.92
113000,34.50,1.50,22.33,1.25,16.33,4.11
113250,36.00,0.00,17.00,1.10,20.00,4.64
113500,34.75,5.76,15.75,6.98,19.75,0.43
113750,38.75,1.79,15.00,2.74,20.50,3.35
114000,40.25,1.79,15.25,0.43,23.25,1.30
114250,42.67,2.62,12.00,2.45,20.75,3.27
114500,35.67,0.47,20.50,2.50,20.67,1.89
114750,35.75,0.43,15.25,2.38,18.00,3.67
115000,29.00,7.25,19.25,1.30,19.50,2.60
115250,36.25,3.90,14.67,4.11,21.50,1.50
115500,39.25,2.17,16.33,3.09,23.50,0.87
115750,42.00,2.55,11.25,2.86,21.25,2.77
116000,35.50,1.50,21.00,3.67,18.00,2.55
116250,36.25,2.17,16.50,1.12,15.33,5.31
116500,37.50,3.20,19.00,2.45,20.25,2.86
116750,38.25,1.92,16.67,4.19,21.00,2.16
117000,42.33,1.25,11.00,3.74,21.67,0.94
117250,34.50,4.39,12.33,2.05,14.25,7.79
117500,34.50,1.50,21.67,0.94,15.33,2.36
117750,36.00,0.00,19.50,1.50,22.00,2.45
118000,37.50,1.50,17.50,7.26,23.00,1.41
118250,38.75,1.09,15.50,5.55,21.75,2.49
118500,41.75,1.79,12.25,1.09,18.00,4.64
118750,38.00,2.55,18.25,2.17,20.00,4.74
119000,36.00,0.00,19.00,1.41,13.67,1.25
119250,37.00,1.73,17.75,0.43,22.50,0.87
119500,37.00,3.74,19.00,4.18,22.00,1.41
119750,38.75,1.92,16.75,3.49,21.00,3.67
0,41.75,1.79,8.75,6.87,23.25,0.83
250,39.50,3.57,15.00,0.00,19.25,3.27
500,35.00,1.41,19.33,1.25,19.50,3.20
750,36.00,0.00,18.50,0.50,21.25,4.76
1000,33.33,2.87,20.25,1.79,23.75,0.43
1250,38.50,1.50,18.67,2.62,22.33,1.70
1500,41.25,1.92,11.33,1.70,22.33,0.94
1750,40.50,3.20,13.00,2.16,13.50,4.56
2000,34.00,1.41,17.75,3.70,18.33,4.19
2250,34.25,1.30,17.50,0.50,18.25,4.26
2500,34.00,3.67,21.00,3.67,22.50,1.50
2750,38.33,2.05,18.33,2.49,22.25,1.30
3000,39.50,1.66,13.25,3.34,20.75,1.09
3250,40.50,2.96,14.33,3.40,13.67,3.09
3500,35.25,1.30,20.00,1.22,20.75,1.09
3750,35.25,1.30,13.50,3.35,19.25,2.49
4000,34.25,3.03,19.50,2.29,14.00,5.10
4250,37.50,1.50,18.00,4.24,15.00,3.24
4500,41.75,2.49,15.33,2.49,19.67,1.25
4750,38.75,3.70,12.75,1.30,16.00,2.92
5000,33.75,1.30,17.50,2.87,15.50,2.29
5250,35.25,1.30,17.00,1.22,19.00,0.71
5500,39.00,2.45,15.00,6.96,21.00,0.82
5750,37.00,3.56,14.75,4.97,14.67,4.92
6000,38.50,2.29,14.67,3.40,17.50,3.35
6250,41.75,3.27,11.50,0.87,17.50,2.87
6500,35.00,1.41,18.00,1.41,14.25,6.18
6750,34.50,1.50,13.00,3.32,18.50,2.29
7000,36.00,0.00,15.00,4.24,22.00,1.58
7250,34.50,3.35,18.25,4.87,18.00,3.67
7500,38.00,1.22,14.25,8.17,18.75,2.49
7750,41.75,1.79,13.00,3.54,17.00,5.34
8000,36.75,2.49,14.67,2.05,17.75,3.27
8250,35.00,1.22,11.75,5.21,19.75,2.17
8500,35.75,3.90,16.75,7.46,18.75,1.79
