time,avg_rss12,var_rss12,avg_rss13,var_rss13,avg_rss23,var_rss23,activity
56500,40.50,0.50,11.00,1.87,35.75,0.43,b1
56750,40.50,0.50,10.25,2.28,33.75,1.30,b1
57000,40.00,1.00,10.25,1.92,34.50,1.50,b1
57250,40.00,1.00,12.00,0.71,35.50,0.87,b1
57500,39.33,0.47,11.33,0.47,36.00,0.00,b1
57750,40.00,1.00,9.33,3.09,34.00,1.41,b1
58000,40.00,0.71,9.25,2.68,33.75,1.30,b1
58250,40.00,1.00,12.00,0.00,33.75,1.30,b1
58500,39.33,0.47,10.00,1.87,34.00,1.41,b1
58750,39.00,0.00,15.33,3.09,36.00,0.00,b1
59000,39.00,0.00,18.00,0.00,36.00,0.00,b1
59250,39.00,0.00,18.00,0.00,36.00,0.00,b1
59500,39.71,0.80,18.92,2.93,36.17,0.37,b1
59750,39.71,0.80,18.92,2.93,36.17,0.37,b1
60000,39.50,1.12,22.00,0.82,36.67,0.94,b1
60250,37.25,1.30,24.00,0.00,37.50,1.50,b1
60500,38.50,0.50,22.00,1.22,37.00,1.00,b1
60750,38.75,0.43,21.75,0.83,35.25,1.30,b1
61000,39.00,0.00,19.75,1.64,32.75,0.43,b1
61250,39.00,0.00,15.50,4.27,33.75,1.92,b1
61500,39.25,0.43,22.33,0.94,36.33,0.47,b1
61750,39.50,0.50,24.00,0.00,36.75,0.83,b1
62000,39.25,0.43,15.50,1.12,33.50,1.50,b1
62250,39.33,0.47,19.50,4.39,37.00,0.82,b1
62500,39.50,0.50,22.00,2.12,36.25,0.43,b1
62750,39.00,0.00,17.00,1.22,36.00,0.00,b1
63000,39.33,0.47,17.00,0.00,36.00,0.00,b1
63250,40.50,0.50,17.75,0.43,36.00,0.00,b1
63500,39.80,0.75,15.00,1.10,35.25,1.30,b1
63750,39.33,0.47,12.50,2.50,36.75,0.83,b1
64000,39.25,0.43,19.25,1.30,37.00,1.00,b1
64250,39.00,0.00,18.50,2.29,37.00,1.00,b1
64500,39.00,0.00,13.50,0.50,36.00,0.00,b1
64750,39.25,0.43,15.00,2.12,36.25,0.43,b1
65000,40.25,0.83,16.00,1.22,36.50,0.50,b1
65250,40.75,0.83,11.67,2.36,36.00,0.00,b1
65500,39.75,0.83,12.75,1.30,36.25,0.43,b1
65750,39.50,0.50,12.00,2.45,36.00,0.00,b1
66000,39.50,0.50,10.50,2.96,36.25,0.43,b1
66250,39.25,0.43,15.25,1.79,35.25,1.30,b1
66500,39.67,0.47,14.50,1.12,36.00,0.00,b1
66750,39.50,0.50,9.25,4.55,36.00,0.00,b1
67000,39.33,0.47,8.00,3.27,36.00,0.00,b1
67250,39.33,0.47,15.00,0.82,36.00,0.00,b1
67500,39.75,0.43,18.25,0.83,36.00,0.00,b1
67750,40.00,1.00,16.75,1.30,36.00,0.00,b1
68000,40.25,0.83,17.50,1.80,34.50,1.50,b1
68250,40.50,0.50,19.33,0.47,34.50,1.50,b1
68500,40.00,1.00,18.33,0.47,35.00,1.41,b1
68750,39.50,0.50,20.33,0.94,36.00,0.00,b1
69000,39.33,0.47,22.20,1.47,36.60,0.80,b1
69250,39.00,0.00,24.00,0.00,37.33,0.94,b1
69500,38.50,0.50,24.00,0.00,36.50,0.50,b1
69750,38.50,0.50,23.50,0.50,36.50,0.50,b1
70000,39.00,0.00,24.00,0.00,36.75,0.83,b1
70250,38.33,0.47,20.67,2.36,36.00,0.00,b1
70500,38.00,1.00,14.25,1.30,36.00,0.00,b1
70750,38.25,0.83,16.25,1.92,36.25,0.43,b1
71000,38.50,0.50,17.75,1.79,36.00,0.00,b1
71250,38.00,1.00,12.25,1.09,36.00,0.00,b1
71500,38.50,0.50,17.25,2.49,36.25,0.43,b1
71750,38.50,0.50,23.75,0.43,36.75,0.83,b1
72000,39.00,0.00,24.25,0.43,37.00,1.00,b1
72250,39.00,0.00,23.67,0.47,36.67,0.94,b1
72500,39.00,0.00,19.50,1.12,36.25,0.43,b1
72750,39.00,0.00,21.25,1.79,36.25,0.43,b1
73000,39.00,0.00,22.25,1.30,35.50,0.87,b1
73250,39.00,0.00,19.67,1.25,36.00,0.00,b1
73500,39.00,0.00,21.25,0.43,36.25,0.43,b1
73750,39.00,0.00,23.50,0.50,36.67,0.47,b1
74000,39.25,0.43,20.33,0.94,36.00,0.00,b1
74250,39.00,0.00,20.00,1.00,36.33,0.47,b1
74500,39.00,0.00,23.50,0.50,36.67,0.94,b1
74750,39.00,0.00,24.00,0.00,37.00,1.00,b1
75000,39.00,0.00,24.00,0.00,37.00,1.00,b1
75250,39.00,0.00,22.67,1.25,36.33,0.47,b1
75500,38.75,0.43,24.00,0.00,36.75,0.83,b1
75750,39.00,0.00,25.25,0.83,37.50,1.50,b1
76000,39.25,0.43,24.00,0.00,37.00,1.00,b1
76250,39.25,0.43,24.75,0.83,36.50,0.50,b1
76500,39.00,0.00,26.50,0.50,36.50,0.50,b1
76750,38.50,0.50,27.25,0.43,36.75,0.83,b1
77000,38.50,0.50,27.00,0.71,37.25,1.30,b1
77250,39.00,0.00,24.75,2.28,37.75,1.30,b1
77500,39.00,0.00,16.25,1.64,36.75,0.83,b1
77750,39.00,0.00,12.25,2.59,36.00,0.00,b1
78000,38.50,0.50,12.00,0.00,36.25,0.43,b1
78250,38.25,0.83,14.00,1.58,36.00,0.00,b1
78500,38.75,0.43,13.00,1.22,36.25,0.43,b1
78750,39.00,0.00,18.50,1.50,36.50,0.87,b1
79000,39.00,0.00,22.00,0.71,37.00,1.00,b1
79250,39.50,0.50,21.25,0.43,37.00,1.00,b1
79500,39.50,0.50,21.75,0.43,37.00,1.00,b1
79750,39.50,0.50,23.50,0.87,37.75,1.30,b1
80000,39.50,0.50,23.33,0.47,37.67,0.94,b1
80250,39.50,0.50,23.75,0.43,37.75,1.30,b1
80500,39.00,0.00,21.00,0.71,37.25,1.30,b1
80750,39.33,0.47,22.00,1.22,37.33,0.94,b1
81000,39.00,0.00,25.00,0.82,37.33,1.25,b1
81250,39.00,0.00,24.00,0.00,37.50,1.12,b1
81500,39.33,0.47,25.33,1.25,37.25,1.30,b1
81750,39.00,0.00,25.25,1.09,38.00,1.00,b1
82000,39.00,0.00,24.00,0.71,38.25,0.83,b1
82250,39.00,0.00,19.00,1.73,37.00,0.71,b1
82500,39.00,0.00,18.50,0.50,36.75,0.83,b1
82750,39.00,0.00,21.75,2.49,38.00,1.22,b1
83000,39.25,0.43,24.00,0.00,37.50,1.50,b1
83250,39.00,0.00,21.67,1.70,37.00,0.82,b1
83500,39.25,0.43,15.00,0.00,36.00,0.00,b1
83750,39.00,0.00,19.00,2.74,36.50,0.87,b1
84000,39.00,0.00,22.00,1.22,37.00,1.00,b1
84250,39.00,0.00,20.00,5.34,38.00,0.82,b1
84500,39.00,0.00,15.25,2.17,36.50,0.50,b1
84750,39.00,0.00,21.00,1.87,36.50,0.50,b1
85000,39.00,0.00,24.00,0.00,37.25,1.30,b1
85250,39.00,0.00,25.25,0.43,37.75,1.30,b1
85500,39.00,0.00,23.50,0.87,36.25,0.43,b1
85750,39.25,0.43,24.00,0.00,36.25,0.43,b1
86000,39.50,0.50,23.75,0.43,36.00,0.00,b1
86250,39.00,0.00,23.75,0.43,36.00,0.00,b1
86500,39.50,0.50,23.25,0.43,36.00,0.00,b1
86750,39.50,0.50,23.25,0.43,36.00,0.00,b1
87000,39.25,0.43,23.33,0.47,36.00,0.00,b1
87250,39.25,0.43,24.00,0.00,36.33,0.47,b1
87500,39.00,0.00,23.75,0.43,36.50,0.50,b1
87750,39.67,0.47,24.00,0.00,37.00,0.82,b1
88000,39.50,0.50,24.00,0.00,36.50,0.50,b1
88250,39.25,0.43,18.50,4.33,34.50,1.50,b1
88500,39.00,0.00,21.67,0.94,32.75,0.43,b1
88750,39.25,0.43,19.75,2.95,32.75,0.43,b1
89000,38.75,0.43,22.00,1.22,33.00,0.00,b1
89250,39.00,0.00,14.75,3.70,36.00,1.87,b1
89500,39.25,0.43,8.75,1.64,35.50,1.50,b1
89750,39.00,0.00,12.50,1.50,33.00,0.00,b1
90000,39.00,0.00,10.50,1.66,36.00,1.87,b1
90250,39.25,0.43,14.00,4.64,36.00,0.00,b1
90500,39.00,0.00,20.75,0.43,36.25,0.43,b1
90750,39.00,0.00,18.33,2.49,35.25,1.30,b1
91000,39.00,0.00,15.50,4.39,34.50,1.50,b1
91250,39.00,0.00,14.00,1.58,33.75,1.30,b1
91500,39.25,0.43,11.50,5.50,36.00,0.00,b1
91750,39.25,0.43,15.25,1.09,36.50,0.50,b1
92000,39.33,0.47,16.75,1.30,36.33,0.47,b1
92250,39.25,0.43,12.75,3.77,36.50,0.50,b1
92500,39.75,0.83,21.00,0.00,37.00,1.22,b1
92750,39.67,0.47,16.75,1.30,35.33,1.70,b1
93000,39.00,0.00,17.75,2.28,36.00,0.00,b1
93250,40.75,1.09,20.75,1.09,35.25,1.30,b1
93500,40.67,1.25,20.67,1.70,33.00,0.00,b1
93750,39.75,0.83,18.75,0.83,32.75,0.43,b1
94000,39.00,0.00,16.75,1.30,32.00,0.00,b1
94250,39.25,0.43,19.00,1.00,32.50,0.50,b1
94500,39.75,0.83,18.25,0.43,33.00,0.00,b1
94750,39.60,0.49,13.00,2.97,32.75,0.43,b1
95000,39.33,0.47,9.67,2.62,32.50,0.50,b1
95250,39.25,0.43,9.67,1.70,31.75,0.43,b1
95500,39.25,0.43,12.75,0.83,32.00,0.00,b1
95750,39.00,0.00,11.75,1.79,32.00,0.00,b1
96000,39.00,0.00,11.00,2.74,32.25,0.43,b1
96250,39.50,0.50,13.75,1.09,32.75,0.43,b1
96500,39.75,0.83,14.75,0.43,32.50,0.50,b1
96750,39.25,0.43,13.50,1.12,32.25,0.43,b1
97000,39.50,0.50,16.75,1.64,32.25,0.43,b1
97250,39.25,0.43,17.00,1.22,33.00,0.00,b1
97500,39.25,0.83,21.50,0.87,34.50,1.50,b1
97750,38.75,0.43,22.00,0.71,35.00,1.22,b1
98000,39.25,0.43,22.75,1.09,35.25,1.30,b1
98250,38.33,0.47,16.33,1.70,34.50,1.50,b1
98500,39.25,0.43,21.25,2.68,32.75,0.43,b1
98750,39.00,0.71,22.00,0.71,33.00,0.00,b1
99000,38.50,0.50,21.25,0.43,33.00,0.00,b1
99250,38.75,0.43,22.00,0.00,33.00,0.00,b1
99500,39.75,0.83,23.33,0.94,31.33,0.47,b1
99750,40.50,0.50,23.50,0.50,30.50,0.50,b1
100000,41.00,0.71,21.00,0.00,30.00,0.00,b1
100250,42.00,0.00,23.33,0.47,30.50,0.50,b1
100500,44.00,0.82,26.25,1.92,31.00,0.00,b1
100750,45.00,0.00,29.50,0.50,30.00,0.00,b1
101000,45.00,0.00,27.50,0.50,30.00,0.00,b1
101250,44.67,0.47,25.67,0.47,30.00,0.00,b1
101500,42.75,1.30,23.75,1.48,29.75,0.43,b1
101750,42.00,0.00,21.67,0.47,29.67,0.47,b1
102000,42.00,0.00,22.50,0.50,30.00,0.00,b1
102250,42.00,0.00,24.00,0.00,29.75,0.43,b1
102500,42.00,0.00,22.50,0.50,29.75,0.43,b1
102750,42.00,0.00,21.00,0.00,30.00,0.00,b1
103000,42.00,0.00,22.50,1.12,29.75,0.43,b1
103250,42.50,0.50,23.25,0.43,30.00,0.00,b1
103500,42.25,0.43,22.50,1.50,29.25,0.83,b1
103750,42.00,0.00,21.00,0.00,29.33,0.47,b1
104000,42.00,0.00,21.75,0.43,30.00,0.00,b1
104250,42.00,0.00,21.50,0.50,30.00,0.00,b1
104500,42.00,0.00,21.50,0.50,30.00,0.00,b1
104750,42.00,0.00,21.25,0.43,30.00,0.00,b1
105000,42.00,0.00,19.00,0.00,29.67,0.47,b1
105250,42.00,0.00,19.25,0.43,29.50,0.50,b1
105500,42.00,0.00,19.25,0.43,29.75,0.43,b1
105750,42.00,0.00,18.75,0.43,29.50,0.50,b1
106000,42.00,0.00,19.67,0.47,29.75,0.43,b1
106250,42.00,0.00,20.00,0.00,30.00,0.00,b1
106500,42.00,0.00,19.75,0.43,30.00,0.00,b1
106750,42.00,0.00,19.00,0.00,30.00,0.00,b1
107000,42.00,0.00,18.75,0.43,30.00,0.00,b1
107250,42.00,0.00,18.33,0.47,30.00,0.00,b1
107500,41.50,0.50,20.25,0.83,30.50,0.50,b1
107750,41.25,0.83,20.00,3.08,30.75,1.30,b1
108000,41.75,0.43,20.50,1.12,34.50,1.50,b1
108250,41.50,0.50,18.33,0.47,33.00,0.00,b1
108500,41.50,0.50,18.00,0.71,32.25,0.83,b1
108750,41.50,0.50,21.00,0.82,35.00,1.41,b1
109000,41.50,0.50,23.33,0.47,36.00,0.00,b1
109250,42.00,0.00,21.33,2.05,36.33,0.47,b1
109500,42.00,0.00,13.00,1.41,37.75,1.30,b1
109750,42.00,0.00,11.50,0.87,37.00,1.00,b1
110000,41.50,0.50,18.25,3.27,36.25,0.43,b1
110250,41.75,0.43,21.00,0.00,34.50,1.50,b1
110500,42.00,0.00,23.25,0.83,33.00,0.00,b1
110750,42.00,0.00,25.00,0.71,33.75,1.30,b1
111000,42.00,0.00,24.67,0.47,33.00,0.00,b1
111250,42.75,0.43,24.25,0.43,32.00,0.71,b1
111500,43.75,0.43,25.50,0.50,31.00,0.71,b1
111750,43.75,0.43,26.00,0.71,31.25,0.43,b1
112000,43.50,0.50,25.75,0.83,30.25,0.43,b1
112250,43.67,0.47,25.00,0.82,30.00,0.00,b1
112500,43.50,0.50,25.50,1.12,30.25,0.43,b1
112750,43.67,0.47,24.50,0.50,31.00,0.00,b1
113000,43.50,0.50,24.33,0.47,31.00,0.00,b1
113250,42.50,0.50,24.50,0.50,31.00,0.71,b1
113500,42.75,0.83,24.75,0.43,31.75,0.43,b1
113750,42.75,0.83,24.25,0.43,31.50,0.50,b1
114000,43.00,1.00,24.00,0.00,31.50,0.50,b1
114250,43.25,0.83,24.00,0.00,32.00,0.00,b1
114500,43.00,0.00,25.00,0.71,32.00,0.00,b1
114750,42.75,0.83,25.25,0.43,31.75,0.43,b1
115000,41.75,0.43,25.00,0.71,30.25,0.43,b1
115250,42.00,0.00,24.33,0.47,31.33,0.94,b1
115500,42.00,0.00,24.33,0.47,30.00,0.00,b1
